Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;All_other_causes;Female;85;10432,54741;9184,939611;452336,7712;459722,6521;0,023063673;0,019979306
AR;2019/2020;All_causes;Female;85;60427,1644;62231,91094;452336,7712;459722,6521;0,133588884;0,135368381
AR;2019/2021;Infec_parasit;Female;0;73,40331492;40,11473372;254983,6759;247931,5713;0,000287875;0,000161798
AR;2019/2021;Covid;Female;0;0;13,03650865;254983,6759;247931,5713;0;5,25811E-05
AR;2019/2021;Neoplasms;Female;0;12,05645802;13,02617903;254983,6759;247931,5713;4,72833E-05;5,25394E-05
AR;2019/2021;Circulatory;Female;0;22,1157511;18,04483355;254983,6759;247931,5713;8,6734E-05;7,27815E-05
AR;2019/2021;Respiratory;Female;0;175,9221794;58,16396813;254983,6759;247931,5713;0,000689935;0,000234597
AR;2019/2021;Pregnancy;Female;0;0;0;254983,6759;247931,5713;0;0
AR;2019/2021;External_causes;Female;0;58,54113656;33,37187289;254983,6759;247931,5713;0,000229588;0,000134601
AR;2019/2021;Undefined ;Female;0;125,4360719;80,113879;254983,6759;247931,5713;0,000491938;0,000323129
AR;2019/2021;All_other_causes;Female;0;2033,950608;1546,901376;254983,6759;247931,5713;0,007976788;0,006239227
AR;2019/2021;All_causes;Female;0;2501,425519;1802,773351;254983,6759;247931,5713;0,00981014;0,007271254
AR;2019/2021;Infec_parasit;Female;1;39,21546961;23,06644838;1430967,791;1435815,826;2,74049E-05;1,6065E-05
AR;2019/2021;Covid;Female;1;0;18,05055044;1430967,791;1435815,826;0;1,25716E-05
AR;2019/2021;Neoplasms;Female;1;42,19760308;54,10874367;1430967,791;1435815,826;2,94889E-05;3,7685E-05
AR;2019/2021;Circulatory;Female;1;22,1157511;22,05479656;1430967,791;1435815,826;1,54551E-05;1,53605E-05
AR;2019/2021;Respiratory;Female;1;81,4268373;36,10177332;1430967,791;1435815,826;5,69033E-05;2,51437E-05
AR;2019/2021;Pregnancy;Female;1;0;0;1430967,791;1435815,826;0;0
AR;2019/2021;External_causes;Female;1;106,9889737;101,1268875;1430967,791;1435815,826;7,47669E-05;7,04317E-05
AR;2019/2021;Undefined ;Female;1;55,19187162;12,01708185;1430967,791;1435815,826;3,85696E-05;8,36951E-06
AR;2019/2021;All_other_causes;Female;1;165,409502;117,490511;1430967,791;1435815,826;0,000115593;8,18284E-05
AR;2019/2021;All_causes;Female;1;512,5460084;384,0167928;1430967,791;1435815,826;0,000358181;0,000267455
AR;2019/2021;Infec_parasit;Female;5;9,049723757;11,03206901;1804857,474;1812562,94;5,01409E-06;6,08645E-06
AR;2019/2021;Covid;Female;5;0;15,04212537;1804857,474;1812562,94;0;8,29882E-06
AR;2019/2021;Neoplasms;Female;5;56,26347077;49,09867481;1804857,474;1812562,94;3,11734E-05;2,7088E-05
AR;2019/2021;Circulatory;Female;5;16,08418262;14,03487054;1804857,474;1812562,94;8,91161E-06;7,74311E-06
AR;2019/2021;Respiratory;Female;5;24,12647031;9,025443331;1804857,474;1812562,94;1,33675E-05;4,97938E-06
AR;2019/2021;Pregnancy;Female;5;0;0;1804857,474;1812562,94;0;0
AR;2019/2021;External_causes;Female;5;58,54113656;45,50709939;1804857,474;1812562,94;3,24353E-05;2,51065E-05
AR;2019/2021;Undefined ;Female;5;11,03837432;16,0227758;1804857,474;1812562,94;6,11593E-06;8,83985E-06
AR;2019/2021;All_other_causes;Female;5;79,15966151;68,84223876;1804857,474;1812562,94;4,38592E-05;3,79806E-05
AR;2019/2021;All_causes;Female;5;254,2630198;228,605297;1804857,474;1812562,94;0,000140877;0,000126123
AR;2019/2021;Infec_parasit;Female;10;12,06629834;13,03768572;1809306,196;1815036,198;6,66902E-06;7,18315E-06
AR;2019/2021;Covid;Female;10;0;13,03650865;1809306,196;1815036,198;0;7,18251E-06
AR;2019/2021;Neoplasms;Female;10;56,26347077;63,12686761;1809306,196;1815036,198;3,10967E-05;3,47799E-05
AR;2019/2021;Circulatory;Female;10;17,08944403;21,0523058;1809306,196;1815036,198;9,4453E-06;1,15988E-05
AR;2019/2021;Respiratory;Female;10;31,16335749;18,05088666;1809306,196;1815036,198;1,72239E-05;9,94519E-06
AR;2019/2021;Pregnancy;Female;10;1;2;1809306,196;1815036,198;5,52698E-07;1,10191E-06
AR;2019/2021;External_causes;Female;10;106,9889737;107,1945008;1809306,196;1815036,198;5,91326E-05;5,90592E-05
AR;2019/2021;Undefined ;Female;10;15,05232862;15,02135231;1809306,196;1815036,198;8,31939E-06;8,27606E-06
AR;2019/2021;All_other_causes;Female;10;123,1783016;91,39049277;1809306,196;1815036,198;6,80804E-05;5,03519E-05
AR;2019/2021;All_causes;Female;10;362,8021746;343,9106003;1809306,196;1815036,198;0,00020052;0,000189479
AR;2019/2021;Infec_parasit;Female;15;25,13812155;29,08461141;1773429,468;1774307,714;1,41749E-05;1,63921E-05
AR;2019/2021;Covid;Female;15;0;41,11514266;1773429,468;1774307,714;0;2,31725E-05
AR;2019/2021;Neoplasms;Female;15;72,33874813;72,14499156;1773429,468;1774307,714;4,07903E-05;4,06609E-05
AR;2019/2021;Circulatory;Female;15;31,16310382;46,11457462;1773429,468;1774307,714;1,75722E-05;2,59902E-05
AR;2019/2021;Respiratory;Female;15;52,27401901;65,18375739;1773429,468;1774307,714;2,94762E-05;3,67376E-05
AR;2019/2021;Pregnancy;Female;15;28;19;1773429,468;1774307,714;1,57886E-05;1,07084E-05
AR;2019/2021;External_causes;Female;15;313,9016115;272,0313275;1773429,468;1774307,714;0,000177003;0,000153317
AR;2019/2021;Undefined ;Female;15;27,09419152;32,0455516;1773429,468;1774307,714;1,52779E-05;1,80609E-05
AR;2019/2021;All_other_causes;Female;15;116,4000153;118,1198276;1773429,468;1774307,714;6,56355E-05;6,65723E-05
AR;2019/2021;All_causes;Female;15;666,3098109;694,8397843;1773429,468;1774307,714;0,000375718;0,000391612
AR;2019/2021;Infec_parasit;Female;20;48,26519337;54,15925701;1758932,708;1766220,026;2,744E-05;3,06639E-05
AR;2019/2021;Covid;Female;20;0;114,3201528;1758932,708;1766220,026;0;6,47259E-05
